PMID	first given affiliation of Ko AI	second given affiliation of Ko AI	is Yale affiliation present?	how is Yale affiliation given?
28555073	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut 06520-8034, USA."		y	Yale School of Public Health
28291747	"Department of Epidemiology of Microbial Disease, Yale School of Public Health, New Haven, CT 06520, USA."		y	Yale School of Public Health
28141801	"Fiocruz, Gonçalo Moniz Research Institute, Brazilian Ministry of Health, Salvador, BA, Brazil."	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT, United States of America."	y	Yale School of Public Health
28300969	"Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Salvador, Brasil."	"School of Public Health, Yale University, New Haven, U.S.A."	y	"School of Public Health, Yale University"
28138046	"Fundação Oswaldo Cruz, Salvador, Brazil."	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut."	y	Yale School of Public Health
28221118			n	none
27927858	"Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Fundação Oswaldo Cruz/MS, Salvador, Brazil."	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut."	y	Yale School of Public Health
28352293	Centro de Pesquisas Gonçalo MonizFundação Oswaldo CruzMinistério da SaúdeSalvadorBrazil; Department of Epidemiology of Microbial DiseaseYale School of Public HealthNew HavenCTUSA.		y	no space before Yale School of Public Health
27914834	"Gonçalo Moniz Research Center, Oswaldo Cruz Foundation, Salvador, Brazil; Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut."		y	Yale School of Public Health
27780498	"Centro de Pesquisas Gonçalo Moniz,Fundação Oswaldo Cruz,Ministério da Saúde,Salvador,Brazil."		n	none
27812211	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut, United States of America."	"Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Ministério da Saúde, Salvador, Bahia, Brazil."	y	Yale School of Public Health
27798305	"Laboratory of Epidemiology and Public Health, Yale University, New Haven, CT, USA."		y	"Laboratory of Epidemiology and Public Health, Yale University"
27551005	"Professor and Chair, Department of Epidemiology (Microbial Diseases) and Professor of Medicine (Infectious Diseases), Yale University School of Medicine, New Haven, CT;"		y	Yale University School of Medicine
27454521			n	none
27645785	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, Connecticut."		y	Yale School of Public Health
27487084	"Department of Epidemiology of Microbial Diseases, School of Public Health, Yale University, New Haven, Connecticut, United States of America."	"Gonçalo Moniz Research Center, Oswaldo Cruz Foundation, Brazilian Ministry of Health, Salvador, Bahia, Brazil."	y	"School of Public Health, Yale University"
27716170	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT, USA."	"Oswaldo Cruz Foundation, Salvador, Brazil."	y	Yale School of Public Health
27205899	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, Yale University, New Haven, Connecticut, United States of America."	"Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Ministério da Saúde, Salvador, Bahia, Brasil."	y	Yale School of Public Health
27141082	"Epidemiology of Microbial Disease Division, Yale School of Public Health, New Haven, Connecticut, USA."	"Gonçalo Moniz Research Center, Oswaldo Cruz Foundation, Brazilian Ministry of Health, Salvador, Brazil."	y	Yale School of Public Health
27113476	"Department of Epidemiology of Microbial Disease, Yale School of Public Health, New Haven, CT, 06520, USA."	"Gonçalo Moniz Research Center, Oswaldo Cruz Foundation, Brazilian Ministry of Health, Salvador, Bahia, 40296-710, Brazil."	y	Yale School of Public Health
27088272			n	none
27453682	"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, 60 College St, New Haven, United States of America, CT 06511."	"Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Ministério da Saúde, Salvador, Brasil, 40296-710."	y	Yale School of Public Health
26733693	"From the Centro de Pesquisas Gonçalo Moniz, Fundação Oswaldo Cruz, Ministério da Saúde, Salvador 40296-710, Brazil (Costa and Pertile); Providence College, 1 Cunningham Square, Providence, RI 02918 (Richardson and Burak); Instituto de Saúde Coletiva, Universidade Federal da Bahia, UFBA, Salvador 40.110-040, Brazil (Costa); Department of Epidemiology of Microbial Disease, Yale School of Public Health, 60 College Street, New Haven, CT 06511 (Costa, Childs, and Ko); Institute of Integrative Biology, University of Liverpool, Liverpool L69 7ZB, UK (Costa); Department of Ecology and Evolutionary Biology, Yale University, 21 Sachem Street, New Haven, CT 06520-8106 (Dion, Mariani, and Caccone)."		y	Yale School of Public Health
