Park JH	http://orcid.org/0000-0001-9675-6475
Matsuo K	http://orcid.org/0000-0003-1761-6314
Playdon MC	http://orcid.org/0000-0001-6082-0447
Moore SC	http://orcid.org/0000-0002-8169-1661
Fitzpatrick MC	0000-0002-5248-2668
Townsend JP	0000-0002-9890-3907
Abbas SS	0000-0003-1964-5303
Inci A	http://orcid.org/0000-0003-1614-0756
Schlüter DK	http://orcid.org/0000-0001-9018-0022
Dornburg A	0000-0003-0863-2283
Bilinski AM	http://orcid.org/0000-0001-9108-6660
Lindow JC	http://orcid.org/0000-0003-3235-3698
Popper SJ	http://orcid.org/0000-0002-2001-945X
Lee PJ	http://orcid.org/0000-0001-9906-1628
Hagan JE	http://orcid.org/0000-0002-1837-6319
Kim CC	http://orcid.org/0000-0001-6474-8227
Gertler S	0000-0001-6132-6360
Townsend JP	0000-0002-9890-3907
Misra R	0000-0002-5512-9456
Xiong LL	0000-0001-7636-5936
Kollannoor-Samuel G	http://orcid.org/0000-0001-8675-8434
Townsend JP	0000-0002-9890-3907
Sharp TM	http://orcid.org/0000-0002-7131-8257
Kunkel A	http://orcid.org/0000-0002-8376-4713
Croda J	http://orcid.org/0000-0002-6665-6825
Pachankis JE	http://orcid.org/0000-0002-2015-9225
Migliori GB	http://orcid.org/0000-0002-2597-574X
Bermúdez-Millán A	http://orcid.org/0000-0002-7905-4575
Li M	http://orcid.org/0000-0001-8810-539X
Taylor JH	http://orcid.org/0000-0003-2787-6232
Wetzel DM	0000-0002-3990-7043
Pitzer VE	0000-0003-1015-2289
Machiela MJ	http://orcid.org/0000-0001-6538-9705
Hicks B	http://orcid.org/0000-0001-8014-4888
Dagnall C	http://orcid.org/0000-0001-7334-4718
Canzian F	http://orcid.org/0000-0002-4261-4583
Chaffee KG	http://orcid.org/0000-0002-7313-1875
Matsuo K	http://orcid.org/0000-0003-1761-6314
Savage SA	http://orcid.org/0000-0001-6006-0740
Stram D	http://orcid.org/0000-0001-7099-9022
Perez-Jurado LA	http://orcid.org/0000-0002-1988-3005
Colman RE	0000-0002-6854-2100
Parpia AS	0000-0002-9083-1929
Lichtenstein AH	0000-0002-1053-9478
Arterbery AS	0000-0002-3817-890X
Ekong UD	0000-0002-3312-112X
Jezmir J	http://orcid.org/0000-0003-2153-6464
Timko C	http://orcid.org/0000-0002-6271-7141
Durham DP	0000-0002-4256-7705
Udo IE	0000-0003-1637-2063
Vijai J	http://orcid.org/0000-0002-7933-151X
Cox A	http://orcid.org/0000-0002-5138-1099
Vajdic CM	http://orcid.org/0000-0002-3612-8298
Cunningham JM	http://orcid.org/0000-0002-8159-3025
Staines A	http://orcid.org/0000-0001-9161-1357
Chaffee KG	http://orcid.org/0000-0002-7313-1875
Huang J	http://orcid.org/0000-0002-5546-8626
Eggo RM	http://orcid.org/0000-0002-0362-6717
Wegener C	http://orcid.org/0000-0003-4481-3567
Johnston PR	http://orcid.org/0000-0002-8651-4488
Ioannidis P	http://orcid.org/0000-0003-0939-6745
Waterhouse RM	http://orcid.org/0000-0003-4199-9052
Childers C	http://orcid.org/0000-0002-1253-5550
Lin H	http://orcid.org/0000-0002-3446-5098
Booth W	http://orcid.org/0000-0003-2355-0702
Evans JD	http://orcid.org/0000-0002-0036-4651
Bränström R	http://orcid.org/0000-0002-5889-2481
